[2200, 1700]
[paragraph, [373.0, 114.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 150.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 186.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 222.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 258.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 294.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [373.0, 330.0, 1136.0, 36.0], shoonya_3sBKKB39C8WC8P, 5733633]
[paragraph, [375.0, 417.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 453.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 489.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 525.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 561.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 597.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 633.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 669.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [375.0, 705.0, 1132.0, 36.0], shoonya_1sMQ6IGUOE4QG5, 5733633]
[paragraph, [370.0, 765.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 801.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 837.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 873.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 909.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 945.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 981.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1017.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1053.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1089.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1125.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1161.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1197.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1233.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1269.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1305.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1341.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1377.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1413.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [370.0, 1449.0, 1136.0, 36.0], shoonya_0s3XHVVYN8YS9G, 5733633]
[paragraph, [373.0, 1514.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1550.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1586.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1622.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1658.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1694.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1730.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1766.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1802.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1838.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1874.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1910.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
[paragraph, [373.0, 1946.0, 1135.0, 36.0], shoonya_2s678JPL4JNE62, 5733633]
