[3509, 2482]
[folio, [855.0, 222.0, 444.0, 52.5], VqBwddrHAq, 5692232]
[paragraph, [211.0, 352.0, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [211.0, 404.5, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [211.0, 457.0, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [211.0, 509.5, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [211.0, 562.0, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [211.0, 614.5, 1779.0, 52.5], shoonya_1sOUEXDLOZ61XK, 5692232]
[paragraph, [307.0, 670.0, 713.0, 52.5], 88MNTLgC21, 5692232]
[paragraph, [220.0, 747.0, 1765.0, 52.5], CbvDkdnWUm, 5692232]
[paragraph, [220.0, 799.5, 1765.0, 52.5], CbvDkdnWUm, 5692232]
[paragraph, [220.0, 852.0, 1765.0, 52.5], CbvDkdnWUm, 5692232]
[paragraph, [220.0, 904.5, 1765.0, 52.5], CbvDkdnWUm, 5692232]
[paragraph, [214.0, 983.0, 1768.0, 52.5], 5FPApbX2b0, 5692232]
[paragraph, [214.0, 1035.5, 1768.0, 52.5], 5FPApbX2b0, 5692232]
[paragraph, [207.0, 1144.0, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1196.5, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1249.0, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1301.5, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1354.0, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1406.5, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1459.0, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [207.0, 1511.5, 1774.0, 52.5], foVbzfs38s, 5692232]
[paragraph, [221.0, 2069.0, 1760.0, 52.5], shoonya_2sP42YZYWW923W, 5692232]
[paragraph, [221.0, 2121.5, 1760.0, 52.5], shoonya_2sP42YZYWW923W, 5692232]
[paragraph, [221.0, 2174.0, 1760.0, 52.5], shoonya_2sP42YZYWW923W, 5692232]
[paragraph, [221.0, 2226.5, 1760.0, 52.5], shoonya_2sP42YZYWW923W, 5692232]
[paragraph, [221.0, 2294.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2346.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2399.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2451.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2504.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2556.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2609.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2661.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2714.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2766.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2819.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2871.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2924.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 2976.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 3029.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 3081.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 3134.0, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [221.0, 3186.5, 1769.0, 52.5], shoonya_0sPMIGQSE0261C, 5692232]
[paragraph, [294.0, 3254.0, 747.0, 52.5], -WRt3B8paQ, 5692232]
