[1350, 900]
[folio, [196.0, 199.0, 207.0, 18.0], shoonya_3sOM2J47PBECQ0, 5760483]
[paragraph, [173.0, 247.0, 565.0, 18.0], V5EGSL5xiM, 5760483]
[paragraph, [173.0, 265.0, 565.0, 18.0], V5EGSL5xiM, 5760483]
[paragraph, [173.0, 283.0, 565.0, 18.0], V5EGSL5xiM, 5760483]
[paragraph, [173.0, 301.0, 565.0, 18.0], V5EGSL5xiM, 5760483]
[paragraph, [171.0, 338.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 356.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 374.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 392.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 410.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 428.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 446.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 464.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 482.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 500.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 518.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 536.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 554.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 572.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 590.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 608.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 626.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 644.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 662.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 680.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [171.0, 698.0, 564.0, 18.0], shoonya_0sUIJVMQR97XD8, 5760483]
[paragraph, [169.0, 737.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 755.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 773.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 791.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 809.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 827.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 845.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 863.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 881.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 899.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 917.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 935.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 953.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 971.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [169.0, 989.0, 568.0, 18.0], shoonya_2s75EE2I2UK5Y2, 5760483]
[paragraph, [168.0, 1028.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
[paragraph, [168.0, 1046.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
[paragraph, [168.0, 1064.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
[paragraph, [168.0, 1082.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
[paragraph, [168.0, 1100.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
[paragraph, [168.0, 1118.0, 560.0, 18.0], shoonya_6sTKM0RL5DYL4J, 5760483]
