[1226, 792]
[folio, [48.0, 25.0, 45.0, 18.0], 9hEdZX4QYR, 5701374]
[folio, [48.0, 43.0, 45.0, 18.0], 9hEdZX4QYR, 5701374]
[paragraph, [84.0, 103.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 121.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 139.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 157.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 175.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 193.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [84.0, 211.0, 665.0, 18.0], shoonya_9sP4CHVP3XEAR2, 5701374]
[paragraph, [82.0, 240.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 258.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 276.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 294.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 312.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 330.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 348.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 366.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 384.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 402.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 420.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[paragraph, [82.0, 438.0, 662.0, 18.0], shoonya_0sYSDFH202S4MU, 5701374]
[section-title, [345.0, 483.0, 142.0, 30.0], shoonya_12s915WL1I6XBT, 5701374]
[sub-section-title, [77.0, 540.0, 492.0, 25.5], ATa2DYMdrA, 5701374]
[ordered-list, [65.0, 573.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 591.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 609.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 627.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 645.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 663.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 681.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 699.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 717.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 735.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 753.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 771.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 789.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 807.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 825.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 843.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 861.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 879.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 897.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 915.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 933.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 951.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 969.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 987.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1005.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1023.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1041.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1059.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1077.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1095.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1113.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
[ordered-list, [65.0, 1131.0, 564.0, 18.0], rbMjVt_g-K, 5701374]
