[864, 612]
[ordered-list, [57.0, 71.0, 502.0, 18.0], ftjXvlww7Z, 5717795]
[ordered-list, [57.0, 89.0, 502.0, 18.0], ftjXvlww7Z, 5717795]
[ordered-list, [57.0, 107.0, 502.0, 18.0], ftjXvlww7Z, 5717795]
[ordered-list, [50.0, 149.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 167.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 185.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 203.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 221.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 239.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 257.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 275.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 293.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 311.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 329.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 347.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 365.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 383.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 401.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 419.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 437.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 455.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 473.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 491.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 509.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 527.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 545.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 563.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 581.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 599.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 617.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 635.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 653.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 671.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 689.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 707.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 725.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 743.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[ordered-list, [50.0, 761.0, 514.0, 18.0], ipK00_ph_-, 5717795]
[sub-ordered-list, [64.0, 150.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 168.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 186.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 204.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 222.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 240.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 258.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 276.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 294.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [64.0, 312.0, 487.0, 18.0], ZHCnZStC1M, 5717795]
[sub-ordered-list, [62.0, 470.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 488.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 506.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 524.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 542.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 560.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 578.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 596.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
[sub-ordered-list, [62.0, 614.0, 489.0, 18.0], daOZeUJ0Xv, 5717795]
