[2430, 1837]
[folio, [1536.0, 6.0, 258.0, 36.0], shoonya_7s7WYCKOKYSZ7N, 5694348]
[answer, [1027.0, 288.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 324.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 360.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 396.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 432.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 468.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 504.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 540.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 576.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1027.0, 612.0, 766.0, 36.0], shoonya_2sYCTK9JRSJ127, 5694348]
[answer, [1012.0, 1123.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1159.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1195.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1231.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1267.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1303.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1339.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1375.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1411.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[answer, [1012.0, 1447.0, 764.0, 36.0], shoonya_5sX4ZDGV1I87MP, 5694348]
[paragraph, [99.0, 1783.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1819.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1855.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1891.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1927.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1963.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 1999.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 2035.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 2071.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 2107.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[paragraph, [99.0, 2143.0, 806.0, 36.0], cdI5NoafwL, 5694348]
[folio, [233.0, 2293.0, 1501.0, 36.0], IAPbKaxIHI, 5694348]
[folio, [233.0, 2329.0, 1501.0, 36.0], IAPbKaxIHI, 5694348]
