[2200, 1700]
[paragraph, [311.0, 91.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 127.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 163.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 199.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 235.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 271.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 307.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 343.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 379.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 415.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 451.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 487.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 523.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [311.0, 559.0, 1083.0, 36.0], shoonya_2s2UB02NLBLNUG, 5730811]
[paragraph, [304.0, 600.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 636.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 672.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 708.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 744.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 780.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 816.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 852.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 888.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 924.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 960.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [304.0, 996.0, 1090.0, 36.0], shoonya_0s7XD0CPGRYVKM, 5730811]
[paragraph, [301.0, 1053.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1089.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1125.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1161.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1197.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1233.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1269.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1305.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1341.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1377.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1413.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1449.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1485.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1521.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [301.0, 1557.0, 1085.0, 36.0], shoonya_1sVB2CCPJJIZ2U, 5730811]
[paragraph, [302.0, 1621.0, 1079.0, 36.0], shoonya_4sY07GQEMKP6M5, 5730811]
[paragraph, [302.0, 1657.0, 1079.0, 36.0], shoonya_4sY07GQEMKP6M5, 5730811]
[paragraph, [302.0, 1693.0, 1079.0, 36.0], shoonya_4sY07GQEMKP6M5, 5730811]
[paragraph, [302.0, 1729.0, 1079.0, 36.0], shoonya_4sY07GQEMKP6M5, 5730811]
[footnote, [301.0, 1850.0, 1075.0, 36.0], shoonya_3sUA1PQSRE5NDS, 5730811]
[footnote, [301.0, 1886.0, 1075.0, 36.0], shoonya_3sUA1PQSRE5NDS, 5730811]
[footnote, [301.0, 1922.0, 1075.0, 36.0], shoonya_3sUA1PQSRE5NDS, 5730811]
[folio, [844.0, 2034.0, 424.0, 36.0], FliZybvjjA, 5730811]
