[2200, 1700]
[paragraph, [185.0, 197.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 233.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 269.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 305.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 341.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 377.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 413.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 449.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [185.0, 485.0, 1321.0, 36.0], shoonya_2sTSG9YTHDTKMX, 5752750]
[paragraph, [181.0, 555.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 591.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 627.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 663.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 699.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 735.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 771.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 807.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 843.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 879.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 915.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 951.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 987.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1023.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1059.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1095.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1131.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1167.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1203.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1239.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1275.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1311.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1347.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1383.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1419.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1455.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1491.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1527.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1563.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1599.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1635.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1671.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [181.0, 1707.0, 1330.0, 36.0], shoonya_4sTJ1RITSUVPZ9, 5752750]
[paragraph, [184.0, 1783.0, 1328.0, 36.0], xaJWv6x434, 5752750]
[paragraph, [184.0, 1819.0, 1328.0, 36.0], xaJWv6x434, 5752750]
[paragraph, [184.0, 1855.0, 1328.0, 36.0], xaJWv6x434, 5752750]
[paragraph, [184.0, 1891.0, 1328.0, 36.0], xaJWv6x434, 5752750]
