[720, 504]
[folio, [395.0, 83.0, 78.0, 18.0], ACiEWZqrzH, 5651200]
[paragraph, [49.0, 109.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 127.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 145.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 163.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 181.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 199.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 217.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 235.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 253.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [49.0, 271.0, 204.0, 18.0], shoonya_6sWPXELPU0M0PM, 5651200]
[paragraph, [261.0, 110.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 128.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 146.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 164.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 182.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 200.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 218.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 236.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 254.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 272.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 290.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 308.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [261.0, 326.0, 209.0, 18.0], shoonya_2sXDYW25NQD1AF, 5651200]
[paragraph, [47.0, 296.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 314.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 332.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 350.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 368.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 386.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 404.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 422.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 440.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 458.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 476.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 494.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 512.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 530.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 548.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 566.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 584.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 602.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [47.0, 620.0, 217.0, 18.0], shoonya_1sV0PI5CKRXM3H, 5651200]
[paragraph, [261.0, 345.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 363.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 381.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 399.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 417.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 435.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 453.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 471.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 489.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [261.0, 507.0, 202.0, 18.0], shoonya_0sQMNKP7MVTWBU, 5651200]
[paragraph, [268.0, 549.0, 198.0, 18.0], shoonya_3sDTY4AA4RUG2U, 5651200]
[paragraph, [268.0, 567.0, 198.0, 18.0], shoonya_3sDTY4AA4RUG2U, 5651200]
[paragraph, [268.0, 585.0, 198.0, 18.0], shoonya_3sDTY4AA4RUG2U, 5651200]
[paragraph, [268.0, 603.0, 198.0, 18.0], shoonya_3sDTY4AA4RUG2U, 5651200]
[footnote, [192.0, 683.0, 113.0, 18.0], Fu4vHMGe2x, 5651200]
