[2339, 1656]
[folio, [1321.0, 249.0, 139.0, 36.0], shoonya_8sY3O5UM6UODWK, 5738455]
[paragraph, [176.0, 454.0, 1259.0, 36.0], shoonya_6sXR9C6XT4NOM9, 5738455]
[paragraph, [176.0, 490.0, 1259.0, 36.0], shoonya_6sXR9C6XT4NOM9, 5738455]
[paragraph, [181.0, 590.0, 580.0, 36.0], shoonya_5s7EO0IBU9AC4L, 5738455]
[paragraph, [181.0, 626.0, 580.0, 36.0], shoonya_5s7EO0IBU9AC4L, 5738455]
[paragraph, [866.0, 592.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 628.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 664.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 700.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 736.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 772.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 808.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [866.0, 844.0, 586.0, 36.0], shoonya_4sOQKECLLB8YF2, 5738455]
[paragraph, [178.0, 716.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 752.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 788.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 824.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 860.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 896.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 932.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 968.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1004.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1040.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1076.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1112.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1148.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1184.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1220.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1256.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1292.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1328.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1364.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [178.0, 1400.0, 582.0, 36.0], shoonya_0sWIP5KC7PBL28, 5738455]
[paragraph, [867.0, 921.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
[paragraph, [867.0, 957.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
[paragraph, [867.0, 993.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
[paragraph, [867.0, 1029.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
[paragraph, [867.0, 1065.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
[paragraph, [867.0, 1101.0, 591.0, 36.0], shoonya_1sNBBJHTWEQPXO, 5738455]
