[1200, 825]
[paragraph, [145.0, 103.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 121.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 139.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 157.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 175.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 193.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 211.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 229.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 247.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 265.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 283.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 301.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 319.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 337.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 355.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 373.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 391.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 409.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 427.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 445.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 463.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 481.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 499.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 517.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 535.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 553.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 571.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 589.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 607.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 625.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 643.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 661.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 679.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 697.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 715.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [145.0, 733.0, 534.0, 18.0], shoonya_2sX305EMW92CP3, 5690794]
[paragraph, [144.0, 755.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 773.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 791.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 809.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 827.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 845.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 863.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 881.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 899.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 917.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 935.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 953.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 971.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 989.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 1007.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
[paragraph, [144.0, 1025.0, 538.0, 18.0], shoonya_0s0LLV0BXPHJ1W, 5690794]
