[2481, 1654]
[folio, [347.0, 103.0, 130.0, 36.0], 4Hsw4T38J1, 5721317]
[paragraph, [225.0, 219.0, 1267.0, 36.0], dGPT_y8EYo, 5721317]
[paragraph, [225.0, 255.0, 1267.0, 36.0], dGPT_y8EYo, 5721317]
[paragraph, [221.0, 322.0, 1273.0, 36.0], Ff99-l0Ddz, 5721317]
[paragraph, [221.0, 358.0, 1273.0, 36.0], Ff99-l0Ddz, 5721317]
[paragraph, [221.0, 394.0, 1273.0, 36.0], Ff99-l0Ddz, 5721317]
[paragraph, [221.0, 430.0, 1273.0, 36.0], Ff99-l0Ddz, 5721317]
[paragraph, [221.0, 466.0, 1273.0, 36.0], Ff99-l0Ddz, 5721317]
[paragraph, [219.0, 521.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 557.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 593.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 629.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 665.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 701.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [219.0, 737.0, 1279.0, 36.0], E6zTzKD_QC, 5721317]
[paragraph, [210.0, 775.0, 1290.0, 36.0], BLE3IsjGjx, 5721317]
[paragraph, [210.0, 811.0, 1290.0, 36.0], BLE3IsjGjx, 5721317]
[paragraph, [274.0, 878.0, 762.0, 36.0], U-2bow80Mz, 5721317]
[paragraph, [221.0, 926.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 962.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 998.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1034.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1070.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1106.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1142.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1178.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1214.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1250.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [221.0, 1286.0, 1279.0, 36.0], WLxrgS21f6, 5721317]
[paragraph, [224.0, 1330.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1366.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1402.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1438.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1474.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1510.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1546.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1582.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1618.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1654.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1690.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1726.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1762.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1798.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1834.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1870.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1906.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1942.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [224.0, 1978.0, 1279.0, 36.0], shoonya_2sMICHVUOA7EJL, 5721317]
[paragraph, [285.0, 2036.0, 591.0, 36.0], 2s3NHqX7gf, 5721317]
[paragraph, [226.0, 2084.0, 1270.0, 36.0], shoonya_1sKLL5R4THKM3K, 5721317]
[paragraph, [226.0, 2120.0, 1270.0, 36.0], shoonya_1sKLL5R4THKM3K, 5721317]
[paragraph, [226.0, 2156.0, 1270.0, 36.0], shoonya_1sKLL5R4THKM3K, 5721317]
