[2200, 1700]
[paragraph, [317.0, 38.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 74.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 110.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 146.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 182.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 218.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 254.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 290.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 326.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[paragraph, [317.0, 362.0, 1096.0, 36.0], shoonya_2sCO4R3BJB4D3W, 5731283]
[section-title, [320.0, 432.0, 590.0, 52.5], shoonya_1s8E74HXXITFG0, 5731283]
[paragraph, [319.0, 496.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 532.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 568.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 604.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 640.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 676.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 712.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 748.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 784.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 820.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 856.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 892.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 928.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 964.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1000.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1036.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1072.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1108.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1144.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1180.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1216.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1252.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1288.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1324.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1360.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1396.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1432.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1468.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1504.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1540.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1576.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1612.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1648.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1684.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1720.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1756.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1792.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[paragraph, [319.0, 1828.0, 1111.0, 36.0], shoonya_0s0QQ1Q1O1ZYBG, 5731283]
[folio, [976.0, 1981.0, 367.0, 36.0], odc8OmJUz2, 5731283]
