[1350, 900]
[author, [528.0, 191.0, 182.0, 18.0], shoonya_2s8OZ3QY6AI9S8, 5759756]
[paragraph, [177.0, 240.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 258.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 276.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 294.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 312.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 330.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 348.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 366.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 384.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 402.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 420.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 438.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 456.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 474.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 492.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 510.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 528.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 546.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 564.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 582.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 600.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 618.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 636.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 654.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [177.0, 672.0, 563.0, 18.0], shoonya_0sS5VI3BI611YJ, 5759756]
[paragraph, [188.0, 706.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 724.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 742.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 760.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 778.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 796.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [188.0, 814.0, 554.0, 18.0], shoonya_1sV7HGR1MJMF8Q, 5759756]
[paragraph, [190.0, 857.0, 553.0, 18.0], shoonya_3s97Q6V7XNEYW6, 5759756]
[paragraph, [190.0, 875.0, 553.0, 18.0], shoonya_3s97Q6V7XNEYW6, 5759756]
[paragraph, [190.0, 893.0, 553.0, 18.0], shoonya_3s97Q6V7XNEYW6, 5759756]
[paragraph, [190.0, 911.0, 553.0, 18.0], shoonya_3s97Q6V7XNEYW6, 5759756]
[paragraph, [190.0, 929.0, 553.0, 18.0], shoonya_3s97Q6V7XNEYW6, 5759756]
[paragraph, [191.0, 959.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 977.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 995.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1013.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1031.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1049.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1067.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1085.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1103.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
[paragraph, [191.0, 1121.0, 555.0, 18.0], shoonya_4sZ1OF2SSVJQL9, 5759756]
