[3960, 3060]
[paragraph, [526.0, 352.0, 2183.0, 52.5], shoonya_1s1XBU6ADH7TB1, 5698487]
[paragraph, [526.0, 404.5, 2183.0, 52.5], shoonya_1s1XBU6ADH7TB1, 5698487]
[paragraph, [526.0, 457.0, 2183.0, 52.5], shoonya_1s1XBU6ADH7TB1, 5698487]
[paragraph, [516.0, 593.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 645.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 698.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 750.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 803.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 855.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 908.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 960.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1013.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1065.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1118.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1170.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1223.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1275.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1328.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1380.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1433.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1485.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1538.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1590.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1643.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1695.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1748.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1800.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1853.0, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [516.0, 1905.5, 2196.0, 52.5], shoonya_0sZA0HVANLFZA7, 5698487]
[paragraph, [524.0, 2038.0, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2090.5, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2143.0, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2195.5, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2248.0, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2300.5, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2353.0, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
[paragraph, [524.0, 2405.5, 2189.0, 52.5], shoonya_4sVQ3Z90TDJIF7, 5698487]
