[755, 564]
[headline, [343.0, 69.0, 134.0, 25.5], DnjbuuZKso, 5753014]
[headline, [343.0, 94.5, 134.0, 25.5], DnjbuuZKso, 5753014]
[sidebar, [316.0, 152.0, 201.0, 18.0], R_LauSmuKd, 5753014]
[sidebar, [316.0, 170.0, 201.0, 18.0], R_LauSmuKd, 5753014]
[sidebar, [316.0, 188.0, 201.0, 18.0], R_LauSmuKd, 5753014]
[sidebar, [316.0, 206.0, 201.0, 18.0], R_LauSmuKd, 5753014]
[sidebar, [316.0, 224.0, 201.0, 18.0], R_LauSmuKd, 5753014]
[paragraph, [44.0, 264.0, 232.0, 18.0], 7lt2ogR7bx, 5753014]
[paragraph, [286.0, 264.0, 236.0, 18.0], zlSB5vbkn5, 5753014]
[paragraph, [286.0, 282.0, 236.0, 18.0], zlSB5vbkn5, 5753014]
[paragraph, [286.0, 300.0, 236.0, 18.0], zlSB5vbkn5, 5753014]
[paragraph, [286.0, 318.0, 236.0, 18.0], zlSB5vbkn5, 5753014]
[paragraph, [286.0, 336.0, 236.0, 18.0], zlSB5vbkn5, 5753014]
[paragraph, [43.0, 311.0, 226.0, 18.0], aVvwoR6Ww_, 5753014]
[paragraph, [43.0, 329.0, 226.0, 18.0], aVvwoR6Ww_, 5753014]
[paragraph, [43.0, 347.0, 226.0, 18.0], aVvwoR6Ww_, 5753014]
[paragraph, [285.0, 381.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 399.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 417.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 435.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 453.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 471.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [285.0, 489.0, 233.0, 18.0], 4Ooa6DGQOC, 5753014]
[paragraph, [42.0, 397.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [42.0, 415.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [42.0, 433.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [42.0, 451.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [42.0, 469.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [42.0, 487.0, 236.0, 18.0], rIlliXql8o, 5753014]
[paragraph, [344.0, 536.0, 170.0, 18.0], R0BBFzbCJz, 5753014]
[paragraph, [344.0, 554.0, 170.0, 18.0], R0BBFzbCJz, 5753014]
[paragraph, [43.0, 539.0, 226.0, 18.0], 08a9JXQ1ju, 5753014]
[paragraph, [43.0, 557.0, 226.0, 18.0], 08a9JXQ1ju, 5753014]
[paragraph, [43.0, 575.0, 226.0, 18.0], 08a9JXQ1ju, 5753014]
[paragraph, [359.0, 579.0, 158.0, 18.0], WDqG_6Ewje, 5753014]
[paragraph, [359.0, 597.0, 158.0, 18.0], WDqG_6Ewje, 5753014]
[paragraph, [43.0, 610.0, 125.0, 18.0], DWAs2BEQdc, 5753014]
[paragraph, [43.0, 628.0, 125.0, 18.0], DWAs2BEQdc, 5753014]
[paragraph, [43.0, 646.0, 125.0, 18.0], DWAs2BEQdc, 5753014]
[paragraph, [379.0, 636.0, 134.0, 18.0], EzHmB0xxxu, 5753014]
[paragraph, [379.0, 654.0, 134.0, 18.0], EzHmB0xxxu, 5753014]
[paragraph, [379.0, 672.0, 134.0, 18.0], EzHmB0xxxu, 5753014]
