[789, 571]
[folio, [240.0, 53.0, 109.0, 18.0], shoonya_3sNDY2WGO6S1PW, 5702630]
[paragraph, [73.0, 92.0, 444.0, 18.0], GK6wlzC8zc, 5702630]
[paragraph, [73.0, 110.0, 444.0, 18.0], GK6wlzC8zc, 5702630]
[paragraph, [73.0, 128.0, 444.0, 18.0], GK6wlzC8zc, 5702630]
[paragraph, [77.0, 163.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 181.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 199.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 217.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 235.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 253.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 271.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 289.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 307.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 325.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 343.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 361.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 379.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 397.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 415.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [77.0, 433.0, 444.0, 18.0], 3oPsnQwXcG, 5702630]
[paragraph, [69.0, 455.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 473.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 491.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 509.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 527.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 545.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [69.0, 563.0, 445.0, 18.0], shoonya_0s018JN7H2LFYY, 5702630]
[paragraph, [67.0, 593.0, 446.0, 18.0], OYG8MmIzeC, 5702630]
[paragraph, [67.0, 611.0, 446.0, 18.0], OYG8MmIzeC, 5702630]
[paragraph, [67.0, 629.0, 446.0, 18.0], OYG8MmIzeC, 5702630]
[footnote, [73.0, 672.0, 437.0, 18.0], shoonya_2s18ER5UWSTUR6, 5702630]
[footnote, [73.0, 690.0, 437.0, 18.0], shoonya_2s18ER5UWSTUR6, 5702630]
