[1755, 1241]
[folio, [558.0, 181.0, 511.0, 36.0], 5H9e3IgFdy, 5759762]
[paragraph, [235.0, 260.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [235.0, 296.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [235.0, 332.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [235.0, 368.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [235.0, 404.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [235.0, 440.0, 842.0, 36.0], 0omRwnl69c, 5759762]
[paragraph, [234.0, 507.0, 845.0, 36.0], M_HO8YNp9x, 5759762]
[paragraph, [234.0, 543.0, 845.0, 36.0], M_HO8YNp9x, 5759762]
[paragraph, [234.0, 579.0, 845.0, 36.0], M_HO8YNp9x, 5759762]
[paragraph, [234.0, 615.0, 845.0, 36.0], M_HO8YNp9x, 5759762]
[paragraph, [234.0, 651.0, 845.0, 36.0], M_HO8YNp9x, 5759762]
[paragraph, [226.0, 713.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 749.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 785.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 821.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 857.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 893.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 929.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 965.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1001.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1037.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1073.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1109.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1145.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1181.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1217.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1253.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1289.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1325.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1361.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1397.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1433.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1469.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1505.0, 851.0, 36.0], Lks6awSjY2, 5759762]
[paragraph, [226.0, 1541.0, 851.0, 36.0], Lks6awSjY2, 5759762]
