[2143, 1435]
[folio, [465.0, 118.0, 498.0, 36.0], JbuNXcKYBY, 5684435]
[section-title, [605.0, 391.0, 226.0, 52.5], shoonya_4sYMJ5RSSBK54C, 5684435]
[paragraph, [126.0, 617.0, 1187.0, 36.0], shoonya_5sJ12BPBXMUBJH, 5684435]
[paragraph, [126.0, 653.0, 1187.0, 36.0], shoonya_5sJ12BPBXMUBJH, 5684435]
[paragraph, [122.0, 724.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 760.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 796.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 832.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 868.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 904.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 940.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [122.0, 976.0, 1188.0, 36.0], shoonya_1sLMFCDN5EVTM6, 5684435]
[paragraph, [123.0, 1026.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1062.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1098.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1134.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1170.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1206.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1242.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1278.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1314.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1350.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [123.0, 1386.0, 1190.0, 36.0], shoonya_0sTZGFVPP35H90, 5684435]
[paragraph, [121.0, 1429.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1465.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1501.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1537.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1573.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1609.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [121.0, 1645.0, 1192.0, 36.0], shoonya_3s5XWZV64EVQ6F, 5684435]
[paragraph, [127.0, 1686.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1722.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1758.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1794.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1830.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1866.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[paragraph, [127.0, 1902.0, 1194.0, 36.0], 9gtVa4RIt7, 5684435]
[folio, [892.0, 2051.0, 456.0, 36.0], q7voO6Ovov, 5684435]
