[1650, 1275]
[folio, [739.0, 95.0, 392.0, 36.0], adQS1k_2sm, 5714067]
[reference, [234.0, 181.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 217.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 253.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 289.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 325.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 361.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 397.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 433.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 469.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 505.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 541.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 577.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 613.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 649.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 685.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 721.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 757.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 793.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 829.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 865.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 901.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 937.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 973.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1009.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1045.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1081.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1117.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1153.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1189.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1225.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1261.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1297.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1333.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1369.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1405.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
[reference, [234.0, 1441.0, 896.0, 36.0], shoonya_0sSNYX2BYXIN0K, 5714067]
