[1425, 1088]
[paragraph, [144.0, 97.0, 837.0, 18.0], shoonya_9sSP72EGIGVUY2, 5758897]
[paragraph, [144.0, 115.0, 837.0, 18.0], shoonya_9sSP72EGIGVUY2, 5758897]
[paragraph, [144.0, 133.0, 837.0, 18.0], shoonya_9sSP72EGIGVUY2, 5758897]
[paragraph, [144.0, 151.0, 837.0, 18.0], shoonya_9sSP72EGIGVUY2, 5758897]
[paragraph, [144.0, 169.0, 837.0, 18.0], shoonya_9sSP72EGIGVUY2, 5758897]
[section-title, [144.0, 225.0, 523.0, 30.0], shoonya_3sOLHT1LR1WE8M, 5758897]
[section-title, [145.0, 225.0, 524.0, 30.0], shoonya_8sY84MET0J764C, 5758897]
[ordered-list, [134.0, 277.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 295.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 313.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 331.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 349.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 367.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 385.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 403.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 421.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 439.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 457.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 475.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 493.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 511.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 529.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 547.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 565.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 583.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 601.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 619.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 637.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 655.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 673.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 691.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 709.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 727.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 745.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 763.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 781.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 799.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 817.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 835.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 853.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 871.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 889.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 907.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 925.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 943.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 961.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[ordered-list, [134.0, 979.0, 860.0, 18.0], shoonya_4sSNZZ2GPERHUF, 5758897]
[figure-caption, [501.0, 779.0, 66.0, 18.0], shoonya_1sC5R0AD8ENZZL, 5758897]
[footnote, [831.0, 1348.0, 146.0, 18.0], shoonya_5s75H3LY5XP2LY, 5758897]
