[1763, 1275]
[paragraph, [1.0, 217.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [1.0, 253.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [1.0, 289.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [1.0, 325.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [1.0, 361.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [1.0, 397.0, 622.0, 36.0], shoonya_1sBUEETTDY6YG4, 5712546]
[paragraph, [624.0, 223.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 259.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 295.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 331.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 367.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 403.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 439.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 475.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [624.0, 511.0, 368.0, 36.0], shoonya_9sPJX3H8Y57R7P, 5712546]
[paragraph, [0.0, 459.0, 620.0, 36.0], shoonya_2s0XRL4I145R2E, 5712546]
[paragraph, [0.0, 495.0, 620.0, 36.0], shoonya_2s0XRL4I145R2E, 5712546]
[paragraph, [0.0, 531.0, 620.0, 36.0], shoonya_2s0XRL4I145R2E, 5712546]
[paragraph, [0.0, 567.0, 620.0, 36.0], shoonya_2s0XRL4I145R2E, 5712546]
[paragraph, [625.0, 560.0, 585.0, 36.0], gy-m5Pa_Za, 5712546]
[paragraph, [625.0, 596.0, 585.0, 36.0], gy-m5Pa_Za, 5712546]
[paragraph, [625.0, 632.0, 585.0, 36.0], gy-m5Pa_Za, 5712546]
[paragraph, [625.0, 668.0, 585.0, 36.0], gy-m5Pa_Za, 5712546]
[paragraph, [625.0, 704.0, 585.0, 36.0], gy-m5Pa_Za, 5712546]
[paragraph, [3.0, 627.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 663.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 699.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 735.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 771.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 807.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 843.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 879.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [3.0, 915.0, 620.0, 36.0], OXExzNt4nC, 5712546]
[paragraph, [623.0, 755.0, 588.0, 36.0], shoonya_3sFHK1ZPTSESQF, 5712546]
[paragraph, [623.0, 791.0, 588.0, 36.0], shoonya_3sFHK1ZPTSESQF, 5712546]
[paragraph, [623.0, 827.0, 588.0, 36.0], shoonya_3sFHK1ZPTSESQF, 5712546]
[paragraph, [623.0, 863.0, 588.0, 36.0], shoonya_3sFHK1ZPTSESQF, 5712546]
[paragraph, [629.0, 923.0, 581.0, 36.0], shoonya_10sHSHWS666A4U, 5712546]
[paragraph, [629.0, 959.0, 581.0, 36.0], shoonya_10sHSHWS666A4U, 5712546]
[paragraph, [629.0, 995.0, 581.0, 36.0], shoonya_10sHSHWS666A4U, 5712546]
[paragraph, [629.0, 1031.0, 581.0, 36.0], shoonya_10sHSHWS666A4U, 5712546]
[paragraph, [6.0, 988.0, 612.0, 36.0], shoonya_4sCQ4BJD3OXVI6, 5712546]
[paragraph, [6.0, 1024.0, 612.0, 36.0], shoonya_4sCQ4BJD3OXVI6, 5712546]
[paragraph, [6.0, 1060.0, 612.0, 36.0], shoonya_4sCQ4BJD3OXVI6, 5712546]
[paragraph, [623.0, 1090.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1126.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1162.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1198.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1234.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1270.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [623.0, 1306.0, 586.0, 36.0], d3AV8rGbis, 5712546]
[paragraph, [4.0, 1124.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1160.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1196.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1232.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1268.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1304.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1340.0, 619.0, 36.0], shoonya_0sQYTFVRHQV0WZ, 5712546]
[paragraph, [4.0, 1387.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1423.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1459.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1495.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1531.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1567.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[paragraph, [4.0, 1603.0, 620.0, 36.0], shoonya_6sZECX1UKX0NHJ, 5712546]
[figure-caption, [881.0, 1479.0, 319.0, 36.0], z3BaMg629O, 5712546]
[figure-caption, [881.0, 1515.0, 319.0, 36.0], z3BaMg629O, 5712546]
[figure-caption, [881.0, 1551.0, 319.0, 36.0], z3BaMg629O, 5712546]
[figure-caption, [881.0, 1587.0, 319.0, 36.0], z3BaMg629O, 5712546]
[folio, [868.0, 1680.0, 299.0, 36.0], SEfbaXVMa3, 5712546]
