[1004, 650]
[paragraph, [60.0, 107.0, 518.0, 18.0], ICS9JCVakL, 5740357]
[paragraph, [60.0, 125.0, 518.0, 18.0], ICS9JCVakL, 5740357]
[paragraph, [60.0, 143.0, 518.0, 18.0], ICS9JCVakL, 5740357]
[paragraph, [59.0, 174.0, 519.0, 18.0], zubpBwMroP, 5740357]
[paragraph, [59.0, 192.0, 519.0, 18.0], zubpBwMroP, 5740357]
[paragraph, [59.0, 210.0, 519.0, 18.0], zubpBwMroP, 5740357]
[paragraph, [64.0, 245.0, 517.0, 18.0], ZFd-ieo5f_, 5740357]
[paragraph, [64.0, 263.0, 517.0, 18.0], ZFd-ieo5f_, 5740357]
[paragraph, [64.0, 281.0, 517.0, 18.0], ZFd-ieo5f_, 5740357]
[paragraph, [60.0, 310.0, 521.0, 18.0], kFAYy5TV4n, 5740357]
[paragraph, [60.0, 328.0, 521.0, 18.0], kFAYy5TV4n, 5740357]
[paragraph, [60.0, 346.0, 521.0, 18.0], kFAYy5TV4n, 5740357]
[paragraph, [58.0, 379.0, 526.0, 18.0], 0DWECk69l3, 5740357]
[paragraph, [58.0, 397.0, 526.0, 18.0], 0DWECk69l3, 5740357]
[paragraph, [58.0, 415.0, 526.0, 18.0], 0DWECk69l3, 5740357]
[paragraph, [58.0, 433.0, 526.0, 18.0], 0DWECk69l3, 5740357]
[paragraph, [58.0, 451.0, 526.0, 18.0], 0DWECk69l3, 5740357]
[paragraph, [56.0, 480.0, 525.0, 18.0], gKj12L5cyq, 5740357]
[paragraph, [56.0, 498.0, 525.0, 18.0], gKj12L5cyq, 5740357]
[paragraph, [56.0, 516.0, 525.0, 18.0], gKj12L5cyq, 5740357]
[paragraph, [52.0, 545.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 563.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 581.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 599.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 617.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 635.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 653.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 671.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 689.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 707.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 725.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 743.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 761.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 779.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 797.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 815.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 833.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 851.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 869.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 887.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 905.0, 539.0, 18.0], pjahukIggD, 5740357]
[paragraph, [52.0, 923.0, 539.0, 18.0], pjahukIggD, 5740357]
[footnote, [354.0, 968.0, 234.0, 18.0], koE5Q3BMwI, 5740357]
