[792, 612]
[figure-caption, [242.0, 202.0, 146.0, 18.0], shoonya_1sINUR7KM46G8S, 6514207]
[paragraph, [48.0, 266.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 284.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 302.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 320.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 338.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 356.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 374.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 392.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 410.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 428.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 446.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 464.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [48.0, 482.0, 153.0, 18.0], shoonya_0s4B0FM5FVN0C6, 6514207]
[paragraph, [409.0, 266.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 284.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 302.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 320.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 338.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 356.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [409.0, 374.0, 153.0, 18.0], ww5mMrnZ0D, 6514207]
[paragraph, [228.0, 267.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 285.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 303.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 321.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 339.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 357.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 375.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 393.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 411.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 429.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 447.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 465.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 483.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 501.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 519.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 537.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 555.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 573.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 591.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 609.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 627.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 645.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [228.0, 663.0, 154.0, 18.0], 0PGYLEvf4g, 6514207]
[paragraph, [409.0, 399.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 417.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 435.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 453.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 471.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 489.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 507.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 525.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 543.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [409.0, 561.0, 152.0, 18.0], SnSCwRdU4t, 6514207]
[paragraph, [50.0, 515.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 533.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 551.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 569.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 587.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 605.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 623.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 641.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 659.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [50.0, 677.0, 151.0, 18.0], TTEV8BsTTr, 6514207]
[paragraph, [410.0, 623.0, 150.0, 18.0], i2TsxegANz, 6514207]
[paragraph, [410.0, 641.0, 150.0, 18.0], i2TsxegANz, 6514207]
[paragraph, [410.0, 659.0, 150.0, 18.0], i2TsxegANz, 6514207]
