[2450, 1824]
[headline, [581.0, 1421.0, 751.0, 67.5], shoonya_3sFI4DGUMMG87I, 5694416]
[headline, [581.0, 1488.5, 751.0, 67.5], shoonya_3sFI4DGUMMG87I, 5694416]
[author, [627.0, 1586.0, 650.0, 36.0], nJuj56ZUfU, 5694416]
[author, [627.0, 1622.0, 650.0, 36.0], nJuj56ZUfU, 5694416]
[paragraph, [1198.0, 1694.0, 525.0, 36.0], oydNeZ8uFC, 5694416]
[paragraph, [1198.0, 1730.0, 525.0, 36.0], oydNeZ8uFC, 5694416]
[paragraph, [1198.0, 1766.0, 525.0, 36.0], oydNeZ8uFC, 5694416]
[paragraph, [1198.0, 1802.0, 525.0, 36.0], oydNeZ8uFC, 5694416]
[paragraph, [1198.0, 1838.0, 525.0, 36.0], oydNeZ8uFC, 5694416]
[paragraph, [717.0, 1702.0, 395.0, 36.0], shoonya_6sOW5KUMNA1RGE, 5694416]
[paragraph, [717.0, 1738.0, 395.0, 36.0], shoonya_6sOW5KUMNA1RGE, 5694416]
[paragraph, [717.0, 1774.0, 395.0, 36.0], shoonya_6sOW5KUMNA1RGE, 5694416]
[paragraph, [209.0, 1715.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1751.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1787.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1823.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1859.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1895.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1931.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [209.0, 1967.0, 474.0, 36.0], shoonya_0sPB08CHEPYMHY, 5694416]
[paragraph, [715.0, 1864.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 1900.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 1936.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 1972.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2008.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2044.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2080.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2116.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2152.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2188.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [715.0, 2224.0, 491.0, 36.0], shoonya_4sQFC4SBSXW2M5, 5694416]
[paragraph, [1227.0, 1907.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 1943.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 1979.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2015.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2051.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2087.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2123.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2159.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [1227.0, 2195.0, 482.0, 36.0], shoonya_5sX9FWSMA13BOL, 5694416]
[paragraph, [191.0, 2034.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[paragraph, [191.0, 2070.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[paragraph, [191.0, 2106.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[paragraph, [191.0, 2142.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[paragraph, [191.0, 2178.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[paragraph, [191.0, 2214.0, 495.0, 36.0], iZb36rn-sn, 5694416]
[dateline, [9.0, 2287.0, 337.0, 64.5], 4e4LxjyqME, 5694416]
