[1601, 1158]
[section-title, [545.0, 93.0, 453.0, 49.5], shoonya_4s65BUCWWN2SO3, 5695657]
[section-title, [545.0, 142.5, 453.0, 49.5], shoonya_4s65BUCWWN2SO3, 5695657]
[section-title, [545.0, 192.0, 453.0, 49.5], shoonya_4s65BUCWWN2SO3, 5695657]
[paragraph, [506.0, 270.0, 530.0, 36.0], shoonya_2sSPW2V32Y4ZMU, 5695657]
[paragraph, [506.0, 306.0, 530.0, 36.0], shoonya_2sSPW2V32Y4ZMU, 5695657]
[paragraph, [506.0, 342.0, 530.0, 36.0], shoonya_2sSPW2V32Y4ZMU, 5695657]
[paragraph, [507.0, 396.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 432.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 468.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 504.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 540.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 576.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 612.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 648.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 684.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[paragraph, [507.0, 720.0, 531.0, 36.0], shoonya_1sK8WMT4UOFDIT, 5695657]
[figure-caption, [114.0, 582.0, 371.0, 36.0], shoonya_3sV5OSCU0KCFP0, 5695657]
