[670, 1322]
[paragraph, [889.0, 99.0, 177.0, 18.0], yQmMkgxYUD, 5656427]
[paragraph, [889.0, 117.0, 177.0, 18.0], yQmMkgxYUD, 5656427]
[paragraph, [889.0, 135.0, 177.0, 18.0], yQmMkgxYUD, 5656427]
[paragraph, [889.0, 153.0, 177.0, 18.0], yQmMkgxYUD, 5656427]
[paragraph, [256.0, 128.0, 176.0, 18.0], CXpgu_33MJ, 5656427]
[paragraph, [256.0, 146.0, 176.0, 18.0], CXpgu_33MJ, 5656427]
[paragraph, [256.0, 164.0, 176.0, 18.0], CXpgu_33MJ, 5656427]
[paragraph, [662.0, 147.0, 183.0, 18.0], Kfg09fb0VY, 5656427]
[paragraph, [940.0, 165.0, 129.0, 18.0], 5BPeVKewPE, 5656427]
[paragraph, [889.0, 178.0, 178.0, 18.0], 5wkEnlUnhG, 5656427]
[paragraph, [889.0, 196.0, 178.0, 18.0], 5wkEnlUnhG, 5656427]
[paragraph, [253.0, 181.0, 180.0, 18.0], mgPK52Xg-U, 5656427]
[paragraph, [253.0, 199.0, 180.0, 18.0], mgPK52Xg-U, 5656427]
[paragraph, [253.0, 217.0, 180.0, 18.0], mgPK52Xg-U, 5656427]
[paragraph, [253.0, 235.0, 180.0, 18.0], mgPK52Xg-U, 5656427]
[paragraph, [666.0, 183.0, 177.0, 18.0], knVZOO9O4_, 5656427]
[paragraph, [666.0, 201.0, 177.0, 18.0], knVZOO9O4_, 5656427]
[paragraph, [666.0, 219.0, 177.0, 18.0], knVZOO9O4_, 5656427]
[paragraph, [935.0, 220.0, 128.0, 18.0], w2jUFt-bAz, 5656427]
[paragraph, [888.0, 239.0, 175.0, 18.0], KscQdgBzgm, 5656427]
[paragraph, [888.0, 257.0, 175.0, 18.0], KscQdgBzgm, 5656427]
[paragraph, [888.0, 275.0, 175.0, 18.0], KscQdgBzgm, 5656427]
[paragraph, [888.0, 293.0, 175.0, 18.0], KscQdgBzgm, 5656427]
[paragraph, [668.0, 246.0, 172.0, 18.0], Azjl-BPyS6, 5656427]
[paragraph, [668.0, 264.0, 172.0, 18.0], Azjl-BPyS6, 5656427]
[paragraph, [668.0, 282.0, 172.0, 18.0], Azjl-BPyS6, 5656427]
[paragraph, [668.0, 300.0, 172.0, 18.0], Azjl-BPyS6, 5656427]
[paragraph, [668.0, 318.0, 172.0, 18.0], Azjl-BPyS6, 5656427]
[unordered-list, [1073.0, 251.0, 166.0, 18.0], CnhU1GtBip, 5656427]
[unordered-list, [1073.0, 269.0, 166.0, 18.0], CnhU1GtBip, 5656427]
[unordered-list, [1073.0, 287.0, 166.0, 18.0], CnhU1GtBip, 5656427]
[unordered-list, [1073.0, 305.0, 166.0, 18.0], CnhU1GtBip, 5656427]
[unordered-list, [1073.0, 323.0, 166.0, 18.0], CnhU1GtBip, 5656427]
[paragraph, [253.0, 260.0, 182.0, 18.0], RmHQ55nEQk, 5656427]
[paragraph, [253.0, 278.0, 182.0, 18.0], RmHQ55nEQk, 5656427]
[paragraph, [477.0, 278.0, 178.0, 18.0], _4NdhU9VG7, 5656427]
[paragraph, [477.0, 296.0, 178.0, 18.0], _4NdhU9VG7, 5656427]
[paragraph, [253.0, 302.0, 184.0, 18.0], iGv11X1iUK, 5656427]
[paragraph, [253.0, 320.0, 184.0, 18.0], iGv11X1iUK, 5656427]
[paragraph, [253.0, 338.0, 184.0, 18.0], iGv11X1iUK, 5656427]
[paragraph, [253.0, 356.0, 184.0, 18.0], iGv11X1iUK, 5656427]
[paragraph, [253.0, 374.0, 184.0, 18.0], iGv11X1iUK, 5656427]
[paragraph, [72.0, 320.0, 178.0, 18.0], OTFvi8ielA, 5656427]
[paragraph, [891.0, 332.0, 172.0, 18.0], Ddzk4LI6RG, 5656427]
[paragraph, [891.0, 350.0, 172.0, 18.0], Ddzk4LI6RG, 5656427]
[paragraph, [483.0, 338.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 356.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 374.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 392.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 410.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 428.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 446.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [483.0, 464.0, 175.0, 18.0], GIBD0sPtJ7, 5656427]
[paragraph, [72.0, 345.0, 179.0, 18.0], Hlxc6n1pVi, 5656427]
[paragraph, [72.0, 363.0, 179.0, 18.0], Hlxc6n1pVi, 5656427]
[paragraph, [72.0, 381.0, 179.0, 18.0], Hlxc6n1pVi, 5656427]
[paragraph, [72.0, 399.0, 179.0, 18.0], Hlxc6n1pVi, 5656427]
[paragraph, [1072.0, 348.0, 176.0, 18.0], OOCnZkE2uH, 5656427]
[paragraph, [886.0, 385.0, 182.0, 18.0], fqPaGKyrQ8, 5656427]
[paragraph, [886.0, 403.0, 182.0, 18.0], fqPaGKyrQ8, 5656427]
[paragraph, [1072.0, 385.0, 180.0, 18.0], zxsEI3oAJJ, 5656427]
