[1606, 1056]
[folio, [109.0, 102.0, 226.0, 36.0], ncUmXc6VIM, 5684092]
[folio, [454.0, 102.0, 156.0, 36.0], shoonya_2sDVYBGMQ18J2O, 5684092]
[paragraph, [110.0, 151.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 187.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 223.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 259.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 295.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 331.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 367.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 403.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 439.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 475.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 511.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 547.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 583.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 619.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 655.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 691.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [110.0, 727.0, 845.0, 36.0], shoonya_0s6YPSYSYBFLQX, 5684092]
[paragraph, [105.0, 790.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 826.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 862.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 898.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 934.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 970.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1006.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1042.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1078.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1114.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1150.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1186.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1222.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1258.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1294.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1330.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1366.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1402.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1438.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
[paragraph, [105.0, 1474.0, 848.0, 36.0], shoonya_1sF1VAQL48AX6P, 5684092]
