[1951, 1219]
[folio, [789.0, 125.0, 208.0, 36.0], shoonya_0sJFIVUIZRPH0Y, 5682599]
[paragraph, [118.0, 211.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 247.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 283.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 319.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 355.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 391.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 427.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 463.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 499.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 535.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 571.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 607.0, 969.0, 36.0], MAWvI5Vulx, 5682599]
[paragraph, [118.0, 673.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 709.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 745.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 781.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 817.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 853.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 889.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 925.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 961.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 997.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 1033.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [118.0, 1069.0, 970.0, 36.0], dG92XCISvs, 5682599]
[paragraph, [117.0, 1135.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1171.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1207.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1243.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1279.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1315.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1351.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1387.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [117.0, 1423.0, 973.0, 36.0], Y8h284L5e_, 5682599]
[paragraph, [114.0, 1483.0, 978.0, 36.0], T-nxTTzvHP, 5682599]
[paragraph, [114.0, 1519.0, 978.0, 36.0], T-nxTTzvHP, 5682599]
[paragraph, [114.0, 1555.0, 978.0, 36.0], T-nxTTzvHP, 5682599]
[paragraph, [204.0, 1605.0, 659.0, 36.0], 4AYmmKrQHO, 5682599]
[paragraph, [114.0, 1659.0, 976.0, 36.0], _mKdiQE5Zo, 5682599]
[paragraph, [114.0, 1695.0, 976.0, 36.0], _mKdiQE5Zo, 5682599]
[paragraph, [114.0, 1731.0, 976.0, 36.0], _mKdiQE5Zo, 5682599]
[paragraph, [114.0, 1767.0, 976.0, 36.0], _mKdiQE5Zo, 5682599]
