[562, 353]
[folio, [134.0, 51.0, 85.0, 18.0], q7GgOBJ-DV, 6458097]
[paragraph, [22.0, 81.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 99.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 117.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 135.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 153.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 171.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 189.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 207.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 225.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 243.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 261.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 279.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 297.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 315.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 333.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 351.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 369.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 387.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 405.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 423.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 441.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 459.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 477.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
[paragraph, [22.0, 495.0, 296.0, 18.0], shoonya_0sWD9TPCFDZF1K, 6458097]
