[1275, 750]
[section-title, [237.0, 88.0, 280.0, 30.0], shoonya_1sAL6CYZPSTNX1, 5767336]
[sub-section-title, [159.0, 158.0, 433.0, 25.5], shoonya_2sHJHONFAWXWDH, 5767336]
[sub-section-title, [159.0, 183.5, 433.0, 25.5], shoonya_2sHJHONFAWXWDH, 5767336]
[ordered-list, [51.0, 221.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 239.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 257.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 275.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 293.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 311.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 329.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 347.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 365.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 383.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 401.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 419.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 437.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 455.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 473.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 491.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 509.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 527.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
[ordered-list, [51.0, 545.0, 660.0, 18.0], shoonya_4s275WH3975ALW, 5767336]
