[612, 396]
[author, [174.0, 95.0, 49.0, 18.0], O-1To_Kjug, 6516995]
[paragraph, [30.0, 135.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 153.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 171.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 189.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 207.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 225.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 243.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 261.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 279.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 297.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 315.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 333.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 351.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 369.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 387.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 405.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 423.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 441.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 459.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 477.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 495.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 513.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
[paragraph, [30.0, 531.0, 334.0, 18.0], shoonya_0sSBAYO3S6F0D0, 6516995]
