[1787, 1218]
[folio, [801.0, 274.0, 313.0, 36.0], FxHbxrSO83, 5651660]
[section-title, [105.0, 312.0, 198.0, 49.5], shoonya_0sQHUUQ3RXDV18, 5651660]
[paragraph, [208.0, 444.0, 509.0, 36.0], jamHM1KdiL, 5651660]
[paragraph, [208.0, 480.0, 509.0, 36.0], jamHM1KdiL, 5651660]
[paragraph, [311.0, 557.0, 490.0, 36.0], hTBPyNift0, 5651660]
[paragraph, [311.0, 593.0, 490.0, 36.0], hTBPyNift0, 5651660]
[paragraph, [206.0, 640.0, 488.0, 36.0], zZGLw8yfQ_, 5651660]
[paragraph, [206.0, 676.0, 488.0, 36.0], zZGLw8yfQ_, 5651660]
[paragraph, [302.0, 739.0, 521.0, 36.0], JV8x4cMbe0, 5651660]
[paragraph, [302.0, 775.0, 521.0, 36.0], JV8x4cMbe0, 5651660]
[paragraph, [214.0, 827.0, 537.0, 36.0], tli1lx556V, 5651660]
[paragraph, [214.0, 863.0, 537.0, 36.0], tli1lx556V, 5651660]
[paragraph, [313.0, 926.0, 490.0, 36.0], M6gL7nEMqN, 5651660]
[paragraph, [313.0, 962.0, 490.0, 36.0], M6gL7nEMqN, 5651660]
[paragraph, [210.0, 1011.0, 506.0, 36.0], UzF0rYWSrA, 5651660]
[paragraph, [210.0, 1047.0, 506.0, 36.0], UzF0rYWSrA, 5651660]
[paragraph, [315.0, 1110.0, 519.0, 36.0], wgo4S4F310, 5651660]
[paragraph, [315.0, 1146.0, 519.0, 36.0], wgo4S4F310, 5651660]
[paragraph, [218.0, 1203.0, 496.0, 36.0], M9Z1_0IpRA, 5651660]
[paragraph, [218.0, 1239.0, 496.0, 36.0], M9Z1_0IpRA, 5651660]
[paragraph, [313.0, 1296.0, 519.0, 36.0], Uy7Ktsx8OO, 5651660]
[paragraph, [313.0, 1332.0, 519.0, 36.0], Uy7Ktsx8OO, 5651660]
[paragraph, [212.0, 1393.0, 506.0, 36.0], Z01MGiqTNy, 5651660]
[paragraph, [212.0, 1429.0, 506.0, 36.0], Z01MGiqTNy, 5651660]
[paragraph, [319.0, 1482.0, 553.0, 36.0], B5Goy5rwBQ, 5651660]
[paragraph, [319.0, 1518.0, 553.0, 36.0], B5Goy5rwBQ, 5651660]
[folio, [472.0, 1653.0, 222.0, 36.0], F2tM2AYt8Q, 5651660]
