[1200, 825]
[paragraph, [134.0, 100.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 118.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 136.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 154.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 172.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 190.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 208.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 226.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 244.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 262.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 280.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 298.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 316.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 334.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 352.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 370.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 388.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 406.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 424.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 442.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 460.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 478.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 496.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 514.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 532.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 550.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 568.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 586.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 604.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 622.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [134.0, 640.0, 556.0, 18.0], shoonya_0s5ZYMVZORTHPY, 5691307]
[paragraph, [139.0, 660.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 678.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 696.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 714.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 732.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 750.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 768.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 786.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 804.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 822.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 840.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 858.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 876.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 894.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 912.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 930.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 948.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 966.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 984.0, 550.0, 18.0], vqilIyAeh1, 5691307]
[paragraph, [139.0, 1002.0, 550.0, 18.0], vqilIyAeh1, 5691307]
