[2334, 1627]
[paragraph, [315.0, 205.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 241.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 277.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 313.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 349.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 385.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 421.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 457.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 493.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 529.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 565.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 601.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 637.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [315.0, 673.0, 1176.0, 36.0], shoonya_0sLUJVAZQJIX16, 5734242]
[paragraph, [310.0, 785.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 821.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 857.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 893.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 929.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 965.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1001.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1037.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1073.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1109.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1145.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1181.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1217.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1253.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1289.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [310.0, 1325.0, 1172.0, 36.0], shoonya_1sMG4M90E14LL2, 5734242]
[paragraph, [304.0, 1431.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1467.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1503.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1539.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1575.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1611.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1647.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [304.0, 1683.0, 1181.0, 36.0], shoonya_2sJYOLST7E3MGM, 5734242]
[paragraph, [298.0, 1770.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
[paragraph, [298.0, 1806.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
[paragraph, [298.0, 1842.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
[paragraph, [298.0, 1878.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
[paragraph, [298.0, 1914.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
[paragraph, [298.0, 1950.0, 1186.0, 36.0], shoonya_4s53A0R3LQKHE1, 5734242]
