[2339, 1653]
[paragraph, [388.0, 195.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 231.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 267.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 303.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 339.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 375.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 411.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 447.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 483.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 519.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 555.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 591.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 627.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 663.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 699.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [388.0, 735.0, 1073.0, 36.0], shoonya_2sSJJQR2ZTNMP4, 5734483]
[paragraph, [389.0, 783.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 819.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 855.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 891.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 927.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 963.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 999.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 1035.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 1071.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 1107.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 1143.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [389.0, 1179.0, 1074.0, 36.0], shoonya_1sA9FY3AU56CC3, 5734483]
[paragraph, [387.0, 1243.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1279.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1315.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1351.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1387.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1423.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1459.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1495.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1531.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1567.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1603.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1639.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1675.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1711.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1747.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1783.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1819.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1855.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1891.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1927.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1963.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 1999.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 2035.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[paragraph, [387.0, 2071.0, 1070.0, 36.0], shoonya_0sIRE928GV7B71, 5734483]
[folio, [1112.0, 2175.0, 294.0, 36.0], QwaVLScV7b, 5734483]
