[2717, 1772]
[folio, [700.0, 240.0, 386.0, 46.5], shoonya_0sSAQEQAHZ84DA, 5721051]
[paragraph, [215.0, 352.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 398.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 445.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 491.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 538.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 584.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 631.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 677.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 724.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 770.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 817.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 863.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 910.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 956.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1003.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1049.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1096.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1142.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1189.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1235.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1282.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1328.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1375.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1421.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1468.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1514.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1561.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1607.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1654.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1700.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1747.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1793.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1840.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1886.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1933.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 1979.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2026.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2072.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2119.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2165.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2212.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2258.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2305.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2351.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2398.0, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
[paragraph, [215.0, 2444.5, 1354.0, 46.5], shoonya_2sUXQXIF7R1OWR, 5721051]
