[1092, 689]
[paragraph, [58.0, 95.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 113.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 131.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 149.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 167.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 185.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 203.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 221.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 239.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [58.0, 257.0, 563.0, 18.0], shoonya_2sLU3BPKODMENS, 5759946]
[paragraph, [61.0, 289.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 307.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 325.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 343.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 361.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 379.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 397.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 415.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 433.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 451.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 469.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 487.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [61.0, 505.0, 557.0, 18.0], shoonya_1sC993RTBCGQCM, 5759946]
[paragraph, [59.0, 527.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 545.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 563.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 581.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 599.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 617.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 635.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 653.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 671.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 689.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 707.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 725.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 743.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 761.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 779.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 797.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 815.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 833.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 851.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
[paragraph, [59.0, 869.0, 558.0, 18.0], shoonya_0sYPMR84OSKFX5, 5759946]
