[1754, 1241]
[paragraph, [215.0, 147.0, 890.0, 36.0], shoonya_1s5BI72W80P35C, 6470849]
[paragraph, [215.0, 183.0, 890.0, 36.0], shoonya_1s5BI72W80P35C, 6470849]
[paragraph, [215.0, 219.0, 890.0, 36.0], shoonya_1s5BI72W80P35C, 6470849]
[paragraph, [215.0, 255.0, 890.0, 36.0], shoonya_1s5BI72W80P35C, 6470849]
[paragraph, [209.0, 333.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 369.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 405.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 441.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 477.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 513.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 549.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 585.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 621.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 657.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 693.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 729.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 765.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 801.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 837.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 873.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 909.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 945.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 981.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1017.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1053.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1089.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1125.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1161.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1197.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1233.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1269.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1305.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1341.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1377.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1413.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1449.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1485.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
[paragraph, [209.0, 1521.0, 901.0, 36.0], shoonya_0sZ17YSKLO37D4, 6470849]
