[2806, 1984]
[flag, [312.0, 170.0, 426.0, 46.5], UPttF4g0rB, 5694080]
[flag, [312.0, 216.5, 426.0, 46.5], UPttF4g0rB, 5694080]
[flag, [312.0, 263.0, 426.0, 46.5], UPttF4g0rB, 5694080]
[flag, [1233.0, 203.0, 272.0, 46.5], ry0sF-hdfC, 5694080]
[unordered-list, [775.0, 212.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 258.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 305.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 351.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 398.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 444.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 491.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 537.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 584.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 630.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 677.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 723.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 770.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 816.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 863.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 909.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 956.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1002.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1049.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1095.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1142.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1188.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1235.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1281.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1328.0, 443.0, 46.5], m8lzWUUYfm, 5694080]
[unordered-list, [775.0, 1374.5, 443.0, 46.5], m8lzWUUYfm, 5694080]
[sub-unordered-list, [780.0, 247.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 265.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 283.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 301.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 319.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 337.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 355.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 373.0, 413.0, 18.0], qHryywhG81, 5694080]
[sub-unordered-list, [780.0, 391.0, 413.0, 18.0], qHryywhG81, 5694080]
