[1755, 1240]
[paragraph, [203.0, 132.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 168.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 204.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 240.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 276.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 312.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 348.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 384.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 420.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 456.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 492.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [203.0, 528.0, 904.0, 36.0], shoonya_0sLPMAE5XQ1XHE, 5693078]
[paragraph, [204.0, 591.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 627.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 663.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 699.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 735.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 771.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[paragraph, [204.0, 807.0, 911.0, 36.0], shoonya_1s0QRZTV5A1ZZ1, 5693078]
[author, [485.0, 978.0, 610.0, 36.0], shoonya_5sY3A5DZAN5PIW, 5693078]
[section-title, [307.0, 1061.0, 696.0, 49.5], shoonya_3sDB4LKPIEVJZE, 5693078]
[author, [425.0, 1157.0, 464.0, 36.0], hFWNFtdQ_1, 5693078]
[paragraph, [215.0, 1266.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1302.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1338.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1374.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1410.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1446.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1482.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
[paragraph, [215.0, 1518.0, 886.0, 36.0], shoonya_2sHL7USX2XIP6R, 5693078]
