[1634, 1040]
[folio, [459.0, 97.0, 88.0, 36.0], jsAK3xe9En, 5731239]
[paragraph, [127.0, 156.0, 789.0, 36.0], shoonya_4s66JVI1ESA6H1, 5731239]
[paragraph, [127.0, 192.0, 789.0, 36.0], shoonya_4s66JVI1ESA6H1, 5731239]
[paragraph, [90.0, 250.0, 825.0, 36.0], LiIRm6z1TX, 5731239]
[paragraph, [90.0, 286.0, 825.0, 36.0], LiIRm6z1TX, 5731239]
[paragraph, [90.0, 322.0, 825.0, 36.0], LiIRm6z1TX, 5731239]
[paragraph, [90.0, 392.0, 825.0, 36.0], RTZtldl-7o, 5731239]
[paragraph, [90.0, 428.0, 825.0, 36.0], RTZtldl-7o, 5731239]
[paragraph, [90.0, 464.0, 825.0, 36.0], RTZtldl-7o, 5731239]
[paragraph, [90.0, 500.0, 825.0, 36.0], RTZtldl-7o, 5731239]
[paragraph, [90.0, 536.0, 825.0, 36.0], RTZtldl-7o, 5731239]
[paragraph, [92.0, 572.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 608.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 644.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 680.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 716.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 752.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 788.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 824.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 860.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [92.0, 896.0, 831.0, 36.0], shoonya_3sQNMDH4ETKI3L, 5731239]
[paragraph, [95.0, 935.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 971.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 1007.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 1043.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 1079.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 1115.0, 833.0, 36.0], shoonya_1sI4EJQ4CCPR1D, 5731239]
[paragraph, [95.0, 1168.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1204.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1240.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1276.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1312.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1348.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1384.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1420.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1456.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
[paragraph, [95.0, 1492.0, 836.0, 36.0], shoonya_0sOJK0FQOHRA8Y, 5731239]
