[1650, 934]
[folio, [358.0, 98.0, 267.0, 36.0], ozi9UwdjHB, 5766462]
[paragraph, [86.0, 159.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 195.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 231.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 267.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 303.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 339.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 375.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 411.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 447.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 483.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 519.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 555.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 591.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 627.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 663.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 699.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 735.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 771.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 807.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 843.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 879.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 915.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 951.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 987.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1023.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1059.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1095.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1131.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1167.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1203.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1239.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1275.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1311.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1347.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1383.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
[paragraph, [86.0, 1419.0, 810.0, 36.0], shoonya_0s6RQSG56B5EU4, 5766462]
