[612, 396]
[folio, [70.0, 34.0, 77.0, 18.0], 43k8q2VLOH, 6517428]
[paragraph, [40.0, 59.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 77.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 95.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 113.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 131.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 149.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 167.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 185.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 203.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 221.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 239.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 257.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 275.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 293.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 311.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 329.0, 319.0, 18.0], shoonya_1sNMP1HX27WOT1, 6517428]
[paragraph, [40.0, 384.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 402.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 420.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 438.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 456.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 474.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 492.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 510.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 528.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
[paragraph, [40.0, 546.0, 316.0, 18.0], shoonya_0sU44AC5FBAUQD, 6517428]
