[1241, 827]
[folio, [374.0, 52.0, 307.0, 18.0], YLJnJ22eAI, 6477576]
[folio, [374.0, 70.0, 307.0, 18.0], YLJnJ22eAI, 6477576]
[ordered-list, [147.0, 139.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 157.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 175.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 193.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 211.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 229.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 247.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 265.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 283.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 301.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 319.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 337.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 355.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 373.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 391.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[ordered-list, [147.0, 409.0, 599.0, 18.0], shoonya_1sT2TMPG4LIQPP, 6477576]
[paragraph, [109.0, 439.0, 635.0, 18.0], shoonya_2sR9QQ8AW949P2, 6477576]
[paragraph, [109.0, 457.0, 635.0, 18.0], shoonya_2sR9QQ8AW949P2, 6477576]
[paragraph, [109.0, 475.0, 635.0, 18.0], shoonya_2sR9QQ8AW949P2, 6477576]
[ordered-list, [149.0, 514.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 532.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 550.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 568.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 586.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 604.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 622.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 640.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 658.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 676.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 694.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 712.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 730.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 748.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 766.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 784.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 802.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 820.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 838.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 856.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 874.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[ordered-list, [149.0, 892.0, 606.0, 18.0], shoonya_3sVCQXEB82N6YI, 6477576]
[paragraph, [109.0, 938.0, 635.0, 18.0], sJPFULnK1n, 6477576]
[paragraph, [109.0, 956.0, 635.0, 18.0], sJPFULnK1n, 6477576]
[paragraph, [109.0, 974.0, 635.0, 18.0], sJPFULnK1n, 6477576]
[ordered-list, [149.0, 1005.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1023.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1041.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1059.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1077.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1095.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1113.0, 352.0, 18.0], RGetyIiK1I, 6477576]
[ordered-list, [149.0, 1131.0, 352.0, 18.0], RGetyIiK1I, 6477576]
