[792, 612]
[ordered-list, [100.0, 62.0, 426.0, 18.0], shoonya_6s6P9VTY9Z2V93, 5658383]
[ordered-list, [100.0, 80.0, 426.0, 18.0], shoonya_6s6P9VTY9Z2V93, 5658383]
[ordered-list, [100.0, 98.0, 426.0, 18.0], shoonya_6s6P9VTY9Z2V93, 5658383]
[ordered-list, [71.0, 128.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 146.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 164.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 182.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 200.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 218.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 236.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 254.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 272.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 290.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 308.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 326.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 344.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 362.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 380.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 398.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 416.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 434.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 452.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 470.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 488.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 506.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 524.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 542.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 560.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 578.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 596.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 614.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 632.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 650.0, 473.0, 18.0], DRiheXmkG7, 5658383]
[ordered-list, [71.0, 668.0, 473.0, 18.0], DRiheXmkG7, 5658383]
