[2339, 1653]
[ordered-list, [244.0, 237.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 273.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 309.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 345.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 381.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 417.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 453.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 489.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 525.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 561.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 597.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 633.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 669.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 705.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 741.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 777.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 813.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 849.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 885.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 921.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 957.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 993.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1029.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1065.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1101.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1137.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1173.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1209.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[ordered-list, [244.0, 1245.0, 1164.0, 36.0], shoonya_5sJ6YU3V2N2VTT, 5686736]
[paragraph, [248.0, 1449.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1485.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1521.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1557.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1593.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1629.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1665.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1701.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1737.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1773.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1809.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1845.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1881.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1917.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1953.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
[paragraph, [248.0, 1989.0, 1154.0, 36.0], shoonya_0sKA3IM4V1T72L, 5686736]
