[1806, 1262]
[paragraph, [94.0, 173.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 209.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 245.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 281.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 317.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 353.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [94.0, 389.0, 508.0, 36.0], shoonya_3sBQ764M5Z6T2L, 5681492]
[paragraph, [655.0, 173.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 209.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 245.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 281.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 317.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 353.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 389.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 425.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 461.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 497.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [655.0, 533.0, 503.0, 36.0], shoonya_6sY9NPMJZS0DIN, 5681492]
[paragraph, [96.0, 449.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 485.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 521.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 557.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 593.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 629.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 665.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 701.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 737.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 773.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 809.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 845.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 881.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 917.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 953.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 989.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1025.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1061.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1097.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1133.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1169.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
[paragraph, [96.0, 1205.0, 506.0, 36.0], shoonya_4sW3VVP5W8BETA, 5681492]
