[1230, 741]
[paragraph, [115.0, 174.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 192.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 210.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 228.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 246.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 264.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 282.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 300.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 318.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 336.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 354.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [115.0, 372.0, 578.0, 18.0], voavnNneW-, 5702587]
[paragraph, [112.0, 432.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 450.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 468.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 486.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 504.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 522.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 540.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 558.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 576.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 594.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 612.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 630.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 648.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [112.0, 666.0, 577.0, 18.0], shoonya_1sTVYPN3A62ZBH, 5702587]
[paragraph, [113.0, 724.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 742.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 760.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 778.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 796.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 814.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 832.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 850.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 868.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 886.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 904.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 922.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 940.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 958.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 976.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 994.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 1012.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 1030.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
[paragraph, [113.0, 1048.0, 580.0, 18.0], shoonya_0sWN0D13LG3CLF, 5702587]
