[2906, 2048]
[paragraph, [214.0, 268.0, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 314.5, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 361.0, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 407.5, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 454.0, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 500.5, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 547.0, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [214.0, 593.5, 1633.0, 46.5], KxxnGWmqUi, 6473934]
[paragraph, [588.0, 695.0, 1237.0, 46.5], L43_6gF4rO, 6473934]
[paragraph, [232.0, 790.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 836.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 883.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 929.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 976.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1022.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1069.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1115.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1162.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1208.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1255.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1301.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1348.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1394.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1441.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1487.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1534.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1580.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1627.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1673.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1720.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1766.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1813.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1859.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1906.0, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [232.0, 1952.5, 1608.0, 46.5], bnbcLTlXmj, 6473934]
[paragraph, [705.0, 2043.0, 1109.0, 46.5], heqAW_xOff, 6473934]
[paragraph, [705.0, 2089.5, 1109.0, 46.5], heqAW_xOff, 6473934]
[section-title, [230.0, 2049.0, 475.0, 79.5], n122v_zrri, 6473934]
[paragraph, [232.0, 2146.0, 1574.0, 46.5], tAzwTfe7U8, 6473934]
[paragraph, [232.0, 2192.5, 1574.0, 46.5], tAzwTfe7U8, 6473934]
[paragraph, [232.0, 2239.0, 1574.0, 46.5], tAzwTfe7U8, 6473934]
