[792, 612]
[paragraph, [0.0, 1.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 19.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 37.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 55.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 73.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 91.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 109.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 127.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 145.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 163.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 181.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 199.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 217.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 235.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 253.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 271.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 289.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 307.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 325.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 343.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 361.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 379.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 397.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 415.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 433.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 451.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 469.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 487.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 505.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 523.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 541.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 559.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 577.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 595.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 613.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 631.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 649.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 667.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 685.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 703.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 721.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 739.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[paragraph, [0.0, 757.0, 611.0, 18.0], shoonya_6sX72XFK774Y37, 6515643]
[folio, [49.0, 38.0, 115.0, 18.0], shoonya_3sIXGHUUOVHORW, 6515643]
[headline, [52.0, 71.0, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[headline, [52.0, 96.5, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[headline, [52.0, 122.0, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[headline, [52.0, 147.5, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[headline, [52.0, 173.0, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[headline, [52.0, 198.5, 336.0, 25.5], shoonya_10sLFG7WZPAM68, 6515643]
[author, [56.0, 240.0, 91.0, 18.0], shoonya_0s9LCD6CMFF22B, 6515643]
[paragraph, [392.0, 252.0, 163.0, 18.0], shoonya_2s3MW48B0YB3EQ, 6515643]
[paragraph, [392.0, 270.0, 163.0, 18.0], shoonya_2s3MW48B0YB3EQ, 6515643]
[paragraph, [224.0, 253.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 271.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 289.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 307.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 325.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 343.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [224.0, 361.0, 163.0, 18.0], shoonya_8s6WNSBBO25RGP, 6515643]
[paragraph, [55.0, 276.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 294.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 312.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 330.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 348.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 366.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 384.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 402.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 420.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 438.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 456.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 474.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
[paragraph, [55.0, 492.0, 163.0, 18.0], shoonya_7s8ATPV5SCHM5T, 6515643]
