[1294, 831]
[paragraph, [83.0, 124.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 142.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 160.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 178.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 196.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 214.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 232.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 250.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 268.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 286.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 304.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 322.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 340.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 358.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 376.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 394.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 412.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 430.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [83.0, 448.0, 681.0, 18.0], shoonya_0sE91NJZEVQPFQ, 5774373]
[paragraph, [79.0, 475.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 493.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 511.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 529.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 547.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 565.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 583.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [79.0, 601.0, 684.0, 18.0], sfByKs4TtJ, 5774373]
[paragraph, [82.0, 616.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 634.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 652.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 670.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 688.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 706.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 724.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 742.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 760.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [82.0, 778.0, 676.0, 18.0], v5FokYBYKa, 5774373]
[paragraph, [81.0, 796.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[paragraph, [81.0, 814.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[paragraph, [81.0, 832.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[paragraph, [81.0, 850.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[paragraph, [81.0, 868.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[paragraph, [81.0, 886.0, 679.0, 18.0], 08mg5ir3wy, 5774373]
[folio, [79.0, 924.0, 45.0, 18.0], D81u34PzXm, 5774373]
[author, [451.0, 925.0, 304.0, 18.0], g7Ei3vipTt, 5774373]
[author, [451.0, 943.0, 304.0, 18.0], g7Ei3vipTt, 5774373]
