[2334, 1650]
[paragraph, [161.0, 117.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 153.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 189.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 225.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 261.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 297.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [161.0, 333.0, 1347.0, 36.0], shoonya_0sLGHWSVNR8RAV, 5652569]
[paragraph, [170.0, 381.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [170.0, 417.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [170.0, 453.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [170.0, 489.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [170.0, 525.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [170.0, 561.0, 1256.0, 36.0], aq-CVlwUyV, 5652569]
[paragraph, [201.0, 605.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [201.0, 641.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [201.0, 677.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [201.0, 713.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [201.0, 749.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [201.0, 785.0, 1254.0, 36.0], jXaoHrlq9i, 5652569]
[paragraph, [185.0, 844.0, 1258.0, 36.0], 3d1QSJog0p, 5652569]
[paragraph, [185.0, 880.0, 1258.0, 36.0], 3d1QSJog0p, 5652569]
[paragraph, [185.0, 916.0, 1258.0, 36.0], 3d1QSJog0p, 5652569]
[paragraph, [185.0, 952.0, 1258.0, 36.0], 3d1QSJog0p, 5652569]
[paragraph, [220.0, 1015.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1051.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1087.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1123.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1159.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1195.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1231.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1267.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1303.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1339.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1375.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1411.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1447.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1483.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1519.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [220.0, 1555.0, 1268.0, 36.0], I7Qg7zz1qv, 5652569]
[paragraph, [218.0, 1592.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1628.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1664.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1700.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1736.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1772.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1808.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1844.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1880.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1916.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1952.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[paragraph, [218.0, 1988.0, 1264.0, 36.0], M1R2sy1H-k, 5652569]
[folio, [1170.0, 2097.0, 125.0, 36.0], 2x4EDRA0Ry, 5652569]
