[1162, 749]
[folio, [296.0, 71.0, 137.0, 18.0], shoonya_3sSEKNBG1XTASF, 5699313]
[paragraph, [71.0, 117.0, 609.0, 18.0], shoonya_4s5EDWSPHH8TW5, 5699313]
[paragraph, [71.0, 135.0, 609.0, 18.0], shoonya_4s5EDWSPHH8TW5, 5699313]
[paragraph, [71.0, 153.0, 609.0, 18.0], shoonya_4s5EDWSPHH8TW5, 5699313]
[paragraph, [71.0, 171.0, 609.0, 18.0], shoonya_4s5EDWSPHH8TW5, 5699313]
[paragraph, [71.0, 189.0, 609.0, 18.0], shoonya_4s5EDWSPHH8TW5, 5699313]
[paragraph, [68.0, 223.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 241.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 259.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 277.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 295.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 313.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [68.0, 331.0, 610.0, 18.0], shoonya_2sRXZODTQCI8PF, 5699313]
[paragraph, [69.0, 362.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 380.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 398.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 416.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 434.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 452.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 470.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 488.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 506.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 524.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 542.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 560.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 578.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 596.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 614.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [69.0, 632.0, 612.0, 18.0], shoonya_1s46NNMCRCK1TH, 5699313]
[paragraph, [68.0, 672.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 690.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 708.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 726.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 744.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 762.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 780.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 798.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 816.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 834.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 852.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 870.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 888.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 906.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 924.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 942.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 960.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 978.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [68.0, 996.0, 618.0, 18.0], shoonya_0sZV9BD0X8EUW6, 5699313]
[paragraph, [73.0, 1024.0, 610.0, 18.0], ds_pu9lDi4, 5699313]
[paragraph, [73.0, 1042.0, 610.0, 18.0], ds_pu9lDi4, 5699313]
[paragraph, [73.0, 1060.0, 610.0, 18.0], ds_pu9lDi4, 5699313]
[paragraph, [73.0, 1078.0, 610.0, 18.0], ds_pu9lDi4, 5699313]
