[1211, 798]
[folio, [347.0, 56.0, 101.0, 18.0], shoonya_1sJARUHEFJWN5U, 5740379]
[folio, [347.0, 74.0, 101.0, 18.0], shoonya_1sJARUHEFJWN5U, 5740379]
[paragraph, [48.0, 115.0, 682.0, 18.0], 0lHVWf6pfu, 5740379]
[paragraph, [48.0, 133.0, 682.0, 18.0], 0lHVWf6pfu, 5740379]
[paragraph, [48.0, 151.0, 682.0, 18.0], 0lHVWf6pfu, 5740379]
[paragraph, [48.0, 169.0, 682.0, 18.0], 0lHVWf6pfu, 5740379]
[paragraph, [55.0, 205.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 223.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 241.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 259.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 277.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 295.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 313.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 331.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 349.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 367.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 385.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [55.0, 403.0, 675.0, 18.0], wNC_WuuWrf, 5740379]
[paragraph, [59.0, 449.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 467.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 485.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 503.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 521.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 539.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 557.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 575.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 593.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 611.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 629.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [59.0, 647.0, 676.0, 18.0], 9o57QCzZH4, 5740379]
[paragraph, [56.0, 685.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 703.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 721.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 739.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 757.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 775.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 793.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 811.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 829.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 847.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 865.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 883.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 901.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 919.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 937.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 955.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 973.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 991.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 1009.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 1027.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 1045.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 1063.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[paragraph, [56.0, 1081.0, 686.0, 18.0], 9fpaQapyYz, 5740379]
[footnote, [423.0, 1174.0, 316.0, 18.0], hZjTOL0mqe, 5740379]
