[3020, 1800]
[headline, [1353.0, 333.0, 446.0, 52.5], BUf91FzM0m, 5693928]
[headline, [1353.0, 385.5, 446.0, 52.5], BUf91FzM0m, 5693928]
[figure-caption, [1387.0, 495.0, 412.0, 52.5], sFZ4wnd2MT, 5693928]
[figure-caption, [1387.0, 547.5, 412.0, 52.5], sFZ4wnd2MT, 5693928]
[figure-caption, [1387.0, 600.0, 412.0, 52.5], sFZ4wnd2MT, 5693928]
[figure-caption, [1387.0, 652.5, 412.0, 52.5], sFZ4wnd2MT, 5693928]
[figure-caption, [1387.0, 705.0, 412.0, 52.5], sFZ4wnd2MT, 5693928]
[contact-info, [1357.0, 806.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 858.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 911.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 963.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1016.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1068.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1121.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1173.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1226.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1278.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1331.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1383.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1436.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1488.5, 442.0, 52.5], DZ4Lm00lYh, 5693928]
[contact-info, [1357.0, 1541.0, 442.0, 52.5], DZ4Lm00lYh, 5693928]
