[2339, 1653]
[folio, [235.0, 328.0, 321.0, 36.0], ckEl3FsG2Z, 5735586]
[folio, [1265.0, 336.0, 150.0, 36.0], Aq2q38DOPA, 5735586]
[paragraph, [235.0, 385.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 421.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 457.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 493.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 529.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 565.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 601.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 637.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 673.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 709.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 745.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 781.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 817.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 853.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 889.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 925.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 961.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 997.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1033.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1069.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1105.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1141.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1177.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1213.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1249.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1285.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1321.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1357.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1393.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [235.0, 1429.0, 582.0, 36.0], shoonya_1sKF91FGWHDSYV, 5735586]
[paragraph, [834.0, 389.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 425.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 461.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 497.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 533.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 569.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 605.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[paragraph, [834.0, 641.0, 581.0, 36.0], shoonya_3sM82HG7FJYWR1, 5735586]
[sidebar, [65.0, 443.0, 129.0, 36.0], shoonya_8s3HMO90J4TFOA, 5735586]
[paragraph, [1277.0, 700.0, 137.0, 36.0], shoonya_7sO2WSOB50GICF, 5735586]
