[792, 612]
[paragraph, [95.0, 58.0, 412.0, 18.0], sSHlEBjAii, 6493238]
[paragraph, [95.0, 76.0, 412.0, 18.0], sSHlEBjAii, 6493238]
[paragraph, [94.0, 103.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 121.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 139.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 157.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 175.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 193.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 211.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 229.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 247.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 265.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 283.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 301.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 319.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 337.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 355.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 373.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 391.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 409.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 427.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 445.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 463.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 481.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 499.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 517.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 535.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 553.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 571.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [94.0, 589.0, 416.0, 18.0], 9r7gmQrRy-, 6493238]
[paragraph, [91.0, 620.0, 410.0, 18.0], sD2c9pesHL, 6493238]
[paragraph, [91.0, 638.0, 410.0, 18.0], sD2c9pesHL, 6493238]
[paragraph, [91.0, 656.0, 410.0, 18.0], sD2c9pesHL, 6493238]
[paragraph, [91.0, 674.0, 410.0, 18.0], sD2c9pesHL, 6493238]
