[2200, 1700]
[folio, [777.0, 390.0, 139.0, 36.0], shoonya_1sOBFKGT30SILU, 5732649]
[paragraph, [451.0, 483.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 519.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 555.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 591.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 627.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 663.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 699.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 735.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 771.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 807.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 843.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 879.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 915.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 951.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 987.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1023.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1059.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1095.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1131.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1167.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1203.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1239.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1275.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1311.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1347.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1383.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1419.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1455.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1491.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1527.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1563.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1599.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1635.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1671.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1707.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[paragraph, [451.0, 1743.0, 801.0, 36.0], shoonya_0sDEXW2N8AY5QX, 5732649]
[footnote, [1298.0, 2028.0, 222.0, 36.0], AZb7rS0A-e, 5732649]
[footnote, [1298.0, 2064.0, 222.0, 36.0], AZb7rS0A-e, 5732649]
[folio, [800.0, 2104.0, 178.0, 36.0], M6Psq1wgCQ, 5732649]
