[1650, 1275]
[paragraph, [140.0, 27.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 63.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 99.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 135.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 171.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 207.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 243.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 279.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 315.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 351.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 387.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 423.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 459.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 495.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 531.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 567.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 603.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 639.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 675.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 711.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 747.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 783.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 819.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 855.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 891.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 927.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 963.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 999.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1035.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1071.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1107.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1143.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1179.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1215.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1251.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1287.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [140.0, 1323.0, 1035.0, 36.0], sqx4_4h8dW, 5709812]
[paragraph, [142.0, 1380.0, 1035.0, 36.0], shoonya_2s0VV31X8DEBQV, 5709812]
[paragraph, [142.0, 1416.0, 1035.0, 36.0], shoonya_2s0VV31X8DEBQV, 5709812]
[paragraph, [142.0, 1452.0, 1035.0, 36.0], shoonya_2s0VV31X8DEBQV, 5709812]
[paragraph, [142.0, 1488.0, 1035.0, 36.0], shoonya_2s0VV31X8DEBQV, 5709812]
[paragraph, [142.0, 1524.0, 1035.0, 36.0], shoonya_2s0VV31X8DEBQV, 5709812]
