[1518, 1075]
[paragraph, [116.0, 174.0, 423.0, 36.0], shoonya_6sWHRLQ8R074XK, 5722653]
[paragraph, [116.0, 210.0, 423.0, 36.0], shoonya_6sWHRLQ8R074XK, 5722653]
[paragraph, [116.0, 246.0, 423.0, 36.0], shoonya_6sWHRLQ8R074XK, 5722653]
[paragraph, [116.0, 282.0, 423.0, 36.0], shoonya_6sWHRLQ8R074XK, 5722653]
[paragraph, [557.0, 174.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 210.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 246.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 282.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 318.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 354.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 390.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 426.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [557.0, 462.0, 429.0, 36.0], shoonya_3sOHVY3I9XXOMK, 5722653]
[paragraph, [115.0, 337.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 373.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 409.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 445.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 481.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 517.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [115.0, 553.0, 425.0, 36.0], shoonya_1sGWGGY5PMSD51, 5722653]
[paragraph, [558.0, 522.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 558.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 594.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 630.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 666.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 702.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 738.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [558.0, 774.0, 427.0, 36.0], shoonya_2sHQP6KKP43NMN, 5722653]
[paragraph, [115.0, 607.0, 425.0, 36.0], shoonya_0sZ8T2NTJ5GMS0, 5722653]
[paragraph, [115.0, 643.0, 425.0, 36.0], shoonya_0sZ8T2NTJ5GMS0, 5722653]
[paragraph, [115.0, 679.0, 425.0, 36.0], shoonya_0sZ8T2NTJ5GMS0, 5722653]
[paragraph, [115.0, 715.0, 425.0, 36.0], shoonya_0sZ8T2NTJ5GMS0, 5722653]
[paragraph, [115.0, 751.0, 425.0, 36.0], shoonya_0sZ8T2NTJ5GMS0, 5722653]
[sub-headline, [598.0, 822.0, 376.0, 36.0], shoonya_14sUBYRE16QTY6, 5722653]
[paragraph, [156.0, 823.0, 343.0, 36.0], shoonya_9sK8SGCGVAS088, 5722653]
[paragraph, [156.0, 859.0, 343.0, 36.0], shoonya_9sK8SGCGVAS088, 5722653]
[paragraph, [559.0, 882.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 918.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 954.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 990.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1026.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1062.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1098.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1134.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1170.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1206.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1242.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [559.0, 1278.0, 427.0, 36.0], shoonya_4sXSN9ONV47P5T, 5722653]
[paragraph, [114.0, 933.0, 426.0, 36.0], shoonya_5s7V20ETYPWE91, 5722653]
[paragraph, [114.0, 969.0, 426.0, 36.0], shoonya_5s7V20ETYPWE91, 5722653]
[paragraph, [114.0, 1005.0, 426.0, 36.0], shoonya_5s7V20ETYPWE91, 5722653]
[paragraph, [114.0, 1041.0, 426.0, 36.0], shoonya_5s7V20ETYPWE91, 5722653]
[paragraph, [147.0, 1094.0, 369.0, 36.0], shoonya_12sRIPKYBCME14, 5722653]
[paragraph, [147.0, 1130.0, 369.0, 36.0], shoonya_12sRIPKYBCME14, 5722653]
[paragraph, [147.0, 1166.0, 369.0, 36.0], shoonya_12sRIPKYBCME14, 5722653]
[paragraph, [114.0, 1225.0, 427.0, 36.0], shoonya_8sERHUQHS65NEQ, 5722653]
[paragraph, [114.0, 1261.0, 427.0, 36.0], shoonya_8sERHUQHS65NEQ, 5722653]
[folio, [249.0, 1334.0, 589.0, 36.0], shoonya_13s92VNNZWVUZC, 5722653]
[folio, [184.0, 1385.0, 429.0, 36.0], shoonya_11s3AHMFGEH7AC, 5722653]
