[1518, 1075]
[folio, [447.0, 107.0, 79.0, 36.0], RhUjiKjmTP, 5722581]
[paragraph, [537.0, 173.0, 424.0, 36.0], shoonya_8sWTYCBRQZV847, 5722581]
[paragraph, [92.0, 174.0, 424.0, 36.0], shoonya_5sEG4C87D64MV3, 5722581]
[paragraph, [92.0, 210.0, 424.0, 36.0], shoonya_5sEG4C87D64MV3, 5722581]
[paragraph, [533.0, 232.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 268.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 304.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 340.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 376.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 412.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [533.0, 448.0, 427.0, 36.0], shoonya_1sP3VLP00O3FM5, 5722581]
[paragraph, [91.0, 282.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 318.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 354.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 390.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 426.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 462.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 498.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 534.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 570.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 606.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 642.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 678.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 714.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 750.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 786.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 822.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 858.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 894.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 930.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [91.0, 966.0, 427.0, 36.0], shoonya_0sMJMWBAYGYG09, 5722581]
[paragraph, [533.0, 502.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 538.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 574.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 610.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 646.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 682.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 718.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 754.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 790.0, 427.0, 36.0], shoonya_4sHJQBZOVOB4G8, 5722581]
[paragraph, [533.0, 851.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 887.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 923.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 959.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 995.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 1031.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 1067.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [533.0, 1103.0, 429.0, 36.0], shoonya_2sYXC0NLMWL8KG, 5722581]
[paragraph, [91.0, 1038.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1074.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1110.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1146.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1182.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1218.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1254.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [91.0, 1290.0, 427.0, 36.0], shoonya_3sX8WERJ17P3PH, 5722581]
[paragraph, [534.0, 1172.0, 428.0, 36.0], shoonya_7sEXJ950YMMT2T, 5722581]
[paragraph, [534.0, 1208.0, 428.0, 36.0], shoonya_7sEXJ950YMMT2T, 5722581]
[paragraph, [534.0, 1244.0, 428.0, 36.0], shoonya_7sEXJ950YMMT2T, 5722581]
[paragraph, [534.0, 1280.0, 428.0, 36.0], shoonya_7sEXJ950YMMT2T, 5722581]
[folio, [597.0, 1387.0, 281.0, 36.0], shoonya_11sK54M01JHN3C, 5722581]
