[709, 412]
[folio, [193.0, 32.0, 42.0, 18.0], 760HtpHGUu, 5740829]
[paragraph, [30.0, 63.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 81.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 99.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 117.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 135.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 153.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 171.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 189.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 207.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 225.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 243.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 261.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 279.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 297.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 315.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 333.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 351.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [30.0, 369.0, 170.0, 18.0], shoonya_0sN7ATI1GL2KNO, 5740829]
[paragraph, [207.0, 64.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 82.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 100.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 118.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 136.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 154.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 172.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 190.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 208.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 226.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 244.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 262.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 280.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 298.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 316.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 334.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 352.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 370.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 388.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 406.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 424.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 442.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 460.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 478.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 496.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 514.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 532.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 550.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 568.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 586.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 604.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 622.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 640.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [207.0, 658.0, 183.0, 18.0], vNLANsSuBw, 5740829]
[paragraph, [39.0, 410.0, 149.0, 18.0], x17pnm1W6I, 5740829]
[paragraph, [39.0, 428.0, 149.0, 18.0], x17pnm1W6I, 5740829]
[paragraph, [39.0, 446.0, 149.0, 18.0], x17pnm1W6I, 5740829]
[paragraph, [25.0, 571.0, 174.0, 18.0], WGROmY4o8H, 5740829]
[paragraph, [25.0, 589.0, 174.0, 18.0], WGROmY4o8H, 5740829]
[paragraph, [25.0, 607.0, 174.0, 18.0], WGROmY4o8H, 5740829]
[paragraph, [25.0, 625.0, 174.0, 18.0], WGROmY4o8H, 5740829]
[paragraph, [25.0, 643.0, 174.0, 18.0], WGROmY4o8H, 5740829]
