[864, 612]
[chapter-title, [241.0, 146.0, 141.0, 30.0], dV8G7nUuIG, 6460615]
[paragraph, [148.0, 183.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 201.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 219.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 237.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 255.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 273.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 291.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 309.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 327.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 345.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 363.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 381.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 399.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 417.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [148.0, 435.0, 337.0, 18.0], MoVVk39lzb, 6460615]
[paragraph, [147.0, 463.0, 328.0, 18.0], shoonya_0sC66DSK69CYSN, 6460615]
[paragraph, [147.0, 481.0, 328.0, 18.0], shoonya_0sC66DSK69CYSN, 6460615]
[paragraph, [147.0, 499.0, 328.0, 18.0], shoonya_0sC66DSK69CYSN, 6460615]
[paragraph, [147.0, 517.0, 328.0, 18.0], shoonya_0sC66DSK69CYSN, 6460615]
[paragraph, [147.0, 535.0, 328.0, 18.0], shoonya_0sC66DSK69CYSN, 6460615]
[paragraph, [148.0, 556.0, 323.0, 18.0], pXTSwT8w15, 6460615]
[paragraph, [148.0, 574.0, 323.0, 18.0], pXTSwT8w15, 6460615]
[paragraph, [148.0, 592.0, 323.0, 18.0], pXTSwT8w15, 6460615]
[paragraph, [148.0, 610.0, 323.0, 18.0], pXTSwT8w15, 6460615]
[paragraph, [148.0, 628.0, 323.0, 18.0], pXTSwT8w15, 6460615]
[paragraph, [142.0, 646.0, 335.0, 18.0], jBEKui1K6Z, 6460615]
[paragraph, [142.0, 664.0, 335.0, 18.0], jBEKui1K6Z, 6460615]
[paragraph, [142.0, 682.0, 335.0, 18.0], jBEKui1K6Z, 6460615]
[paragraph, [142.0, 700.0, 335.0, 18.0], jBEKui1K6Z, 6460615]
